year	age_group	fill_month	claims_per_1k_member
2012	20-29	11	15.9749333540414
2012	30-39	0	19.17422219086956
2012	30-39	1	20.2936077391581
2012	30-39	2	17.25074827128162
2012	30-39	3	14.081304417186328
2012	30-39	4	13.023331095875228
2012	30-39	5	10.090942018800735
2012	30-39	6	9.04299518352677
2012	30-39	7	10.687159849223136
2012	30-39	8	13.108735271584383
2012	30-39	9	15.761994139160823
2012	30-39	10	17.886713957065513
2012	30-39	11	22.915712882262017
2012	40-49	0	18.605927622599214
2012	40-49	1	19.357639049853873
2012	40-49	2	16.67187539448803
2012	40-49	3	12.805339975400349
2012	40-49	4	11.982593957866218
2012	40-49	5	9.498380254437913
2012	40-49	6	8.380940535061631
2012	40-49	7	9.686094151642305
2012	40-49	8	11.851080118031533
2012	40-49	9	14.709295218473443
2012	40-49	10	16.73292520300131
2012	40-49	11	21.94084473250698
2012	50-59	0	18.99762191201219
2012	50-59	1	18.814358345479693
2012	50-59	2	16.716161414447665
2012	50-59	3	12.80951855714517
2012	50-59	4	11.6104174162966
2012	50-59	5	9.397187758782552
2012	50-59	6	8.303390862404951
2012	50-59	7	9.60161734698774
2012	50-59	8	11.382586884875641
2012	50-59	9	14.574975110204639
2012	50-59	10	16.295733232402522
2012	50-59	11	21.688335983906462
2013	10-19	0	15.492841466372964
2013	10-19	1	14.292023687817938
2013	10-19	2	12.084581885988527
2013	10-19	3	9.102275165547523
2013	10-19	4	9.394945316948615
2013	10-19	5	6.247520846115987
2013	10-19	6	5.768934050315071
2013	10-19	7	6.996281030411167
2013	10-19	8	9.438028740251314
2013	10-19	9	9.338703409681546
2013	10-19	10	10.490070756564014
2013	10-19	11	11.234161801387966
2013	20-29	0	16.252729535119812
2013	20-29	1	11.927132384995009
2013	20-29	2	11.329027573822053
2013	20-29	3	9.19276184071467
2013	20-29	4	9.02414191053324
2013	20-29	5	7.141549984154686
2013	20-29	6	6.7415735909449115
2013	20-29	7	7.469862907037353
2013	20-29	8	8.549030460198505
2013	20-29	9	9.632165541128632
2013	20-29	10	10.008832708695682
2013	20-29	11	13.033080750596742
2013	30-39	0	21.709308179667534
2013	30-39	1	17.124088453111845
2013	30-39	2	15.33690568444521
2013	30-39	3	11.852956858909486
2013	30-39	4	11.148217861042763
2013	30-39	5	8.473370767556531
2013	30-39	6	7.696112453286636
2013	30-39	7	8.474997803501475
2013	30-39	8	10.543192923230402
2013	30-39	9	12.215321007218927
2013	30-39	10	13.427927653614274
2013	30-39	11	18.348316784828217
2013	40-49	0	22.636356718333136
2013	40-49	1	17.449703581090443
2013	40-49	2	15.473390543575832
2013	40-49	3	11.48486549946404
2013	40-49	4	10.635443538307099
2013	40-49	5	8.3240734560218
2013	40-49	6	7.4247294909844035
2013	40-49	7	8.024167485144465
2013	40-49	8	9.84884477304466
2013	40-49	9	11.546753826372017
2013	40-49	10	12.703934657893107
2013	40-49	11	17.829821311011653
2013	50-59	0	22.94074075463775
2013	50-59	1	16.988056256296648
2013	50-59	2	15.194678298011832
2013	50-59	3	11.768243378188533
2013	50-59	4	10.706713714625556
2013	50-59	5	8.425209487523702
2013	50-59	6	7.600409125539357
2013	50-59	7	8.111219109853481
2013	50-59	8	9.517438916421083
2013	50-59	9	11.52844410007646
2013	50-59	10	12.410039027929454
2013	50-59	11	18.03542991695543
2014	10-19	0	10.27988911235352
2014	10-19	1	9.722057843992246
2014	10-19	2	10.036317602706996
2014	10-19	3	9.158773482131423
2014	10-19	4	8.7392892155179691
2014	10-19	5	6.405567164136903
2014	10-19	6	5.433502756235814
2014	10-19	7	6.645907210968877
2014	10-19	8	9.977545372767413
2014	10-19	9	9.183009453240532
2014	10-19	10	10.706846136725616
2014	10-19	11	14.011218831026406
2014	20-29	0	12.358625044225118
2014	20-29	1	9.390438158857307
2014	20-29	2	9.834799367948646
2014	20-29	3	8.627405179180446
2014	20-29	4	8.24965252915208
2014	20-29	5	7.096092655242995
2014	20-29	6	6.4197420469494535
2014	20-29	7	6.981124457408274
2014	20-29	8	9.07701295285551
2014	20-29	9	9.260642713285966
2014	20-29	10	9.626305453621395
2014	20-29	11	13.712466818330402
2014	30-39	0	16.76322343659777
2014	30-39	1	13.324964693441675
2014	30-39	2	13.322790644283817
2014	30-39	3	11.57485512136412
2014	30-39	4	10.089327331798163
2014	30-39	5	8.211818479069995
2014	30-39	6	7.212408081201605
2014	30-39	7	7.912017100201056
2014	30-39	8	10.636100695000033
2014	30-39	9	11.597247827690081
2014	30-39	10	13.142127159265623
2014	30-39	11	19.493394369038757
2014	40-49	0	17.544507250517054
2014	40-49	1	13.767939942985924
2014	40-49	2	13.599066147526864
2014	40-49	3	11.595406204783462
2014	40-49	4	9.857628869251737
2014	40-49	5	8.14677861198223
2014	40-49	6	7.009064974148222
2014	40-49	7	7.45255930287756
2014	40-49	8	10.250835541888726
2014	40-49	9	11.185258655094087
2014	40-49	10	12.386456000619145
2014	40-49	11	19.351296369409557
2014	50-59	0	17.748382192542103
2014	50-59	1	13.578220715256538
2014	50-59	2	13.779312633278858
2014	50-59	3	11.878526536606099
2014	50-59	4	9.946998255460265
2014	50-59	5	8.406085874964564
2014	50-59	6	7.3175906938019795
2014	50-59	7	7.3025365313022785
2014	50-59	8	9.73861695349072
2014	50-59	9	11.004434322412939
2014	50-59	10	11.994522820288003
2014	50-59	11	19.553297043822035
2015	10-19	0	14.528561611945193
2015	10-19	1	14.779878095679415
2015	10-19	2	14.081319557138576
2015	10-19	3	11.727364028761494
2015	10-19	4	10.895550780331352
2015	10-19	5	8.126638186241973
2015	10-19	6	6.953300396314067
2015	10-19	7	7.9895852423415725
2015	10-19	8	11.035452399740073
2015	10-19	9	11.412110605840482
2015	10-19	10	13.516332247987965
2015	10-19	11	14.308580558802518
2015	20-29	0	14.800392432780392
2015	20-29	1	12.804070257581552
2015	20-29	2	12.908657960180609
2015	20-29	3	11.2535663702292
2015	20-29	4	10.363690530270217
2015	20-29	5	8.963201327453884
2015	20-29	6	7.915563565729322
2015	20-29	7	8.380045652356111
2015	20-29	8	10.215788728614985
2015	20-29	9	11.546552796365278
2015	20-29	10	12.218097405309393
2015	20-29	11	14.520083303929047
2015	30-39	0	18.970799117999668
2015	30-39	1	17.422308921572782
2015	30-39	2	17.019038466533335
2015	30-39	3	14.397780508776941
2015	30-39	4	12.479170055733345
2015	30-39	5	10.486398849517236
2015	30-39	6	9.075294011502093
2015	30-39	7	9.547598900370327
2015	30-39	8	12.327089248536266
2015	30-39	9	14.699549840810697
2015	30-39	10	16.14722242347772
2015	30-39	11	19.951976640388015
2015	40-49	0	20.221287398670167
2015	40-49	1	18.555273733749424
2015	40-49	2	18.4848182822159
2015	40-49	3	15.147922079707456
2015	40-49	4	12.509565902769186
2015	40-49	5	10.579487496734991
2015	40-49	6	8.903449682205817
2015	40-49	7	9.014288136447579
2015	40-49	8	12.099434981647214
2015	40-49	9	14.356873473465217
2015	40-49	10	15.444350503842399
2015	40-49	11	19.56026633306297
2015	50-59	0	21.163665948563096
2015	50-59	1	18.514291454567516
2015	50-59	2	19.39202885145202
2015	50-59	3	16.095167620491214
2015	50-59	4	12.963907836081423
2015	50-59	5	11.131102637091145
2015	50-59	6	9.27144314947097
2015	50-59	7	9.314957043084224
2015	50-59	8	11.966072092824335
2015	50-59	9	14.526180942207583
2015	50-59	10	15.265419831991613
2015	50-59	11	20.39782142096982
